"Id","Link","Make","Model","Trim","Year","Price","Mileage","L_Predicted_Price","L_Price_Gap_Percentage","Average_Year_per_Trim","Average_Milerange_per_Trim_Year_LR","Average_Price_per_Trim","Year_Effect","Mileage_Effect"
"1712253645-7629","https://qatarsale.com/en/product/nissan_patrol_super_safari_white_suv_automatic_2022-185048","Nissan","Nissan-Patrol","Nissan-Nissan-Patrol-Super Safari-6-Automatic","2022","154,000"," 28,000","187,007.4",21.4334035785538,"2,021.904","22,228.637","184,788.46","  4,573.541"," -2,354.56139"
"1712255160-11676","https://qatarsale.com/en/product/nissan_sunny_white_sedan_automatic_2020-202982","Nissan","Nissan-Sunny","Nissan-Nissan-Sunny-Standard-4-Automatic","2020","27,500"," 78,000","34,854.02",26.7418773352562,"2,018.714"," 93,333.33","26,808.86","  7,317.1379","   728.02123"
"1712255173-11714","https://qatarsale.com/en/product/suzuki_jimny_black_suv_automatic_2018-203065","Suzuki","Suzuki-Jimny","Suzuki-Suzuki-Jimny-Standard-4-Automatic","2018"," 39,000"," 16,000","50,227.06",28.7873362747897,"2,021.056","48,640.74","72,979.17","-24,952.917","  2,200.8116"
"1712257393-17412","https://qatarsale.com/en/product/suzuki_jimny_beige_suv_automatic_2021-192941","Suzuki","Suzuki-Jimny","Suzuki-Suzuki-Jimny-Standard-4-Automatic","2021"," 59,000"," 15,000","71,947.21",21.9444317957995,"2,021.056","33,589.21","72,979.17"," -2,562.992","  1,531.0400"
"1712255209-11835","https://qatarsale.com/en/product/suzuki_jimny_2023_white_manual_suv-120369","Suzuki","Suzuki-Jimny","Suzuki-Suzuki-Jimny-Standard-4-Manual","2023"," 65,000","     0","82,035.08",26.2078217845956,"2,020.588","14,488.109","68,852.94"," 11,323.5732"," 1,858.569765"
"1712254880-10951","https://qatarsale.com/en/product/toyota_fortuner_white_suv_automatic_2015-179838","Toyota","Toyota-Fortuner","Toyota-Toyota-Fortuner-Standard-4-Automatic","2015"," 55,000"," 13,000"," 67,464.83",22.6633331551838,"2,020.433","155,518.519","98,600.00","-43,156.878","12,021.7115"
"1712257339-17260","https://qatarsale.com/en/product/toyota_fortuner_white_suv_automatic_2020-213902","Toyota","Toyota-Fortuner","Toyota-Toyota-Fortuner-Standard-4-Automatic","2020"," 84,000"," 33,000","100,875.42",20.0897821542891,"2,020.433"," 73,064.815","98,600.00"," -2,793.122"," 5,068.5387"
"1712255412-12382","https://qatarsale.com/en/product/toyota_hilux_sr5_white_pick_up_automatic_2019-204928","Toyota","Toyota-Hilux","Toyota-Toyota-Hilux-SR5-4-Automatic","2019"," 65,000"," 54,000"," 83,342.86",28.2197883688956,"2,022.083","125,304.92","103,166.65","-27,708.276","  7,884.4857"
"1712254431-9733","https://qatarsale.com/en/product/toyota_hilux_sr5_white_pick_up_automatic_2022-179896","Toyota","Toyota-Hilux","Toyota-Toyota-Hilux-SR5-4-Automatic","2022"," 87,000"," 20,000","105,244.18",20.9703166771677,"2,022.083"," 45,166.67","103,166.65"," -1,996.271","  4,073.7940"
"1712256199-14344","https://qatarsale.com/en/product/toyota_hilux_white_pick_up_automatic_2020-209802","Toyota","Toyota-Hilux","Toyota-Toyota-Hilux-Standard-4-Automatic","2020"," 68,000"," 37,000"," 88,408.52",30.0125310983801,"2,022.448"," 90,690.008","100,175.75","-18,399.598","  6,632.37373"
"1712256719-15723","https://qatarsale.com/en/product/toyota_hilux_white_pick_up_automatic_2021-169352","Toyota","Toyota-Hilux","Toyota-Toyota-Hilux-Standard-4-Automatic","2021"," 76,000","  7,000"," 96,582.72",27.0825217304567,"2,022.448"," 62,780.544","100,175.75","-11,114.178","  7,521.14878"
"1712251312-1160","https://qatarsale.com/en/product/toyota_hilux_2023_white_manual_pick_up-96397","Toyota","Toyota-Hilux","Toyota-Toyota-Hilux-Standard-4-Manual","2023"," 69,000","      0","94,529.41",36.9991476316717,"2,021.062","  9,328.921","84,104.94","  9,034.253","  1,390.2211"
"1712253514-7289","https://qatarsale.com/en/product/toyota_hilux_white_pick_up_manual_2021-183875","Toyota","Toyota-Hilux","Toyota-Toyota-Hilux-Standard-4-Manual","2021"," 70,000","      0","89,244.42",27.4920344838464,"2,021.062"," 58,549.034","84,104.94"," -2,504.699","  7,644.1844"
"1712255670-12939","https://qatarsale.com/en/product/toyota_land_cruiser_gx_gray_suv_automatic_2021-206531","Toyota","Toyota-Land Cruiser","Toyota-Toyota-Land Cruiser-GX-6-Automatic","2021","149,000"," 51,000","194,184.82",30.3253797834978,"2,022.194"," 88,333.067","212,786.34"," -27,022.732","  8,421.2045"
"1712257393-17402","https://qatarsale.com/en/product/toyota_land_cruiser_gx_white_suv_automatic_2021-193684","Toyota","Toyota-Land Cruiser","Toyota-Toyota-Land Cruiser-GX-6-Automatic","2021","159,000"," 62,000","191,212.60",20.2594956578364,"2,022.194"," 88,333.067","212,786.34"," -27,022.732","  5,448.9868"
"1712254458-9821","https://qatarsale.com/en/product/toyota_land_cruiser_gxr_twin_turbo_white_suv_automatic_2024-176773","Toyota","Toyota-Land Cruiser","Toyota-Toyota-Land Cruiser-GXR Twin Turbo-6-Automatic","2024","249,000","      0","312,284.6",25.4155061072866,"2,023.058","     0.00","288,938.64"," 23,345.9717","      0.0000"
"1712253100-6239","https://qatarsale.com/en/product/toyota_land_cruiser_gxr_twin_turbo_bronze_suv_automatic_2024-178174","Toyota","Toyota-Land Cruiser","Toyota-Toyota-Land Cruiser-GXR Twin Turbo-6-Automatic","2024","259,000","      0","312,284.6",20.5732085741868,"2,023.058","     0.00","288,938.64"," 23,345.9717","      0.0000"
"1712254752-10618","https://qatarsale.com/en/product/toyota_land_cruiser_gxr_maroon_suv_automatic_2021-198411","Toyota","Toyota-Land Cruiser","Toyota-Toyota-Land Cruiser-GXR-6-Automatic","2021","179,000"," 25,000","234,237.83",30.859122289008,"2,021.562"," 78,788.68","230,207.45"," -12,930.654"," 16,961.0375"
"1712255094-11496","https://qatarsale.com/en/product/toyota_land_cruiser_gxr_red_suv_automatic_2021-198788","Toyota","Toyota-Land Cruiser","Toyota-Toyota-Land Cruiser-GXR-6-Automatic","2021","179,000"," 25,000","234,237.83",30.859122289008,"2,021.562"," 78,788.68","230,207.45"," -12,930.654"," 16,961.0375"
"1712251011-381","https://qatarsale.com/en/product/suv_manual_gray_2021_hard_top_land_cruiser_toyota-73892","Toyota","Toyota-Land Cruiser","Toyota-Toyota-Land Cruiser-Hard Top-6-Manual","2021","103,000","     0","134,732.34",30.8080963597027,"2,021.263","28,769.23","121,631.58","  7,171.84"," 5,928.920"
